Handle,SKU,Name,Category,Description,Sold by weight,Option 1 name,Option 1 value,Option 2 name,Option 2 value,Option 3 name,Option 3 value,Default price,Cost,Barcode,SKU of included item,Quantity of included item,Track stock,Use production,Supplier,Purchase cost,Available for sale [Factory],Price [Factory],In stock [Factory],Low stock [Factory],Optimal stock [Factory],Available for sale [Stock Room],Price [Stock Room],In stock [Stock Room],Low stock [Stock Room],Optimal stock [Stock Room],item_name,uom_detail,uomDenomination,uomDimension
cacao-beans,10000,Cacao Beans (kg),Ingredients,<p>Cacao beans used to create cacao nibs. For one 1kg beans we end up with about 760g nibs. 1 Sack is 20kgs.</p>,Y,,,,,,,280.00,180.00,,,,Y,,Cocoa Nakorn Lampang,180.00,Y,280.00,898.938,500.000,1000.000,N,variable,0.000,,,Cacao Beans,kg,kg,mass
cacao-beans-(kg)-guscoa,10305,Cacao beans (kg) Guscoa,Ingredients,"<p>Cacao beans are used to create cacao nibs. For 1kg of beans, we end up with about 760g of nibs. 1 Sack is 25 kg.</p>",N,,,,,,,240.00,0.00,,,,Y,,,0.00,Y,240.00,0.000,,,N,variable,0.000,,,Cacao beans Guscoa,kg,kg,mass
cacao-beans-(kg)-pk,10306,Cacao beans (kg) PK,Ingredients,<p>Cacao beans used to create cacao nibs. For one 1kg beans we end up with about 760g nibs. 1 Sack is 25kgs.</p>,N,,,,,,,280.00,0.00,,,,Y,,,0.00,N,280.00,0.000,,,N,variable,0.000,,,Cacao beans PK,kg,kg,mass
cocoa-butter,10003,Cacao Butter (kg),Ingredients,<p>Cacao butter from many different suppliers. Priced differently from each. Add the cost to new order from each supplier. (Coco Doi &amp; Kolob)</p>,Y,,,,,,,650.00,399.99,,,,Y,,Hill Tribe Cocoa Cof,400.00,Y,650.00,433.600,120.000,300.000,N,variable,0.000,,,Cacao Butter,kg,kg,mass
cacao-butter-(kg)-kolab-surat-1,10457,Cacao Butter (Kg) Kolab-Surat,Ingredients,"<p>Cacao Butter (Kg)Surat Thani - Kolob Innovation Co.,Ltd.&nbsp; (650B/kg)</p>",Y,,,,,,,650.00,0.00,,,,Y,,"Kolob Innovation Co.,Ltd.",,Y,650.00,0.000,,,N,variable,0.000,,,Cacao Butter Kolab-Surat,kg,kg,mass
cacao-hots-sauce-90-ml.,10429,Cacao Hot Sauce (90ml),Finished Good (others),,N,,,,,,,variable,0.00,,,,Y,,,0.00,N,variable,-101.000,,,Y,variable,26.000,20.000,,Cacao Hot Sauce,90ml,,other
cacao-nibs---retail-(1kg),10205,Cacao Nibs - Retail (1kg),Finished Good (others),"<p>Cacao Nibs, for retail sale, sold per kilogram. Just cacao nibs.</p>",N,,,,,,,variable,216.00,,10001,1.000,N,Y,,,N,variable,0.000,,,Y,variable,2.000,,,Cacao Nibs - Retail,1kg,,other
,,,,,,,,,,,,,,,10132,1.000,,,,,,,,,,,,,,,,,,
cacao-nibs-(250g),8857126163391,Cacao Nibs - Retail (250g),Finished Good (others),<p>Cacao nibs are sold in 250-gram quantities.</p>,N,,,,,,,variable,54.00,8857126163391,10001,0.250,N,Y,,,N,variable,0.000,,,Y,250.00,15.000,10.000,30.000,Cacao Nibs - Retail,250g,,other
,,,,,,,,,,,,,,,10138,2.000,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,10289,1.000,,,,,,,,,,,,,,,,,,
cacao-nibs-(80g),10172,Cacao Nibs - Retail (80g),Finished Good (others),<p>Cacao Nibs sold in 80 gram quantities.</p>,N,,,,,,,variable,17.28,,10001,0.080,N,Y,,,N,variable,0.000,,,Y,110.00,26.000,3.000,10.000,Cacao Nibs - Retail,80g,,other
,,,,,,,,,,,,,,,10127,1.000,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,10137,1.000,,,,,,,,,,,,,,,,,,
cacao-nibs,10001,Cacao Nibs (kg),Ingredients,<p>Cacao nibs are roasted cacao beans with the shell removed. It takes 1.315kg of beans to equal 1kg of nibs.</p>,Y,,,,,,,variable,216.00,,10000,1.200,N,Y,,,N,variable,851.454,50.000,300.000,N,variable,0.000,,,Cacao Nibs,kg,kg,mass
cacao-powder-(1kg),10170,Cacao Powder - Retail (1kg),Finished Good (others),<p>Cacao Powder is sold in 1-kilogram quantities.</p>,N,,,,,,,variable,153.00,,10011,0.900,N,Y,,,N,variable,0.000,,,Y,variable,15.000,3.000,10.000,Cacao Powder - Retail,1kg,,other
,,,,,,,,,,,,,,,10086,0.100,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,10132,1.000,,,,,,,,,,,,,,,,,,
cacao-powder-(200g),8857126163384,Cacao Powder - Retail (200g),Discontinued,<p>Cacao Powder is sold in 200-gram quantities.</p>,N,,,,,,,variable,38.52,8857126163384,10011,0.180,N,Y,,,N,variable,0.000,,,N,variable,0.000,10.000,30.000,Cacao Powder - Retail,200g,,other
,,,,,,,,,,,,,,,10086,0.020,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,10135,2.000,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,10289,1.000,,,,,,,,,,,,,,,,,,
cacao-powder---retail-(250g)---new,10290,Cacao Powder - Retail (250g),Finished Good (others),<p>Cacao powder blend - 250g bag for retail</p>,N,,,,,,,variable,38.25,,10011,0.225,N,Y,,,N,variable,0.000,,,Y,250.00,65.000,,,Cacao Powder - Retail,250g,,other
,,,,,,,,,,,,,,,10086,0.025,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,10289,1.000,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,10135,2.000,,,,,,,,,,,,,,,,,,
cacao-powder-(80g),10169,Cacao Powder - Retail (80g),Finished Good (others),<p>Finished Cacao Powder in 80-gram quantities.</p>,N,,,,,,,variable,12.24,,10011,0.072,N,Y,,,N,variable,0.000,,,Y,110.00,23.000,3.000,10.000,Cacao Powder - Retail,80g,,other
,,,,,,,,,,,,,,,10086,0.008,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,10127,1.000,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,10134,1.000,,,,,,,,,,,,,,,,,,
cacao-powder-chocolasia-(kg),10086,Cacao Powder Chocolasia (kg),Ingredients,"<p>Cocoa Powder Chocolasia, 1 Bag = 13kg&nbsp; (ChiangRai)</p>",Y,,,,,,,230.00,0.00,,,,Y,,"Chocolasia Co., Ltd.",0.00,Y,550.00,1.214,10.000,40.000,N,variable,0.000,,,Cacao Powder Chocolasia,kg,kg,mass
cocoa-powder-100%-kd30,10011,Cacao Powder KD30 (kg),Ingredients,"<p>Cocoa Powder 100% KD30, 1 Sack is 25 kg. Minimum order is 50 kg.</p>",Y,,,,,,,280.00,170.00,,,,Y,,"Khotcher Global Food Co., Ltd.",170.00,Y,280.00,90.570,50.000,100.000,N,variable,0.000,,,Cacao Powder KD30,kg,kg,mass
candied-orange-(kg),10082,Candied Orange (kg),Ingredients,"<p>Candied Orange, 1 Bag = 10.5kg</p>",Y,,,,,,,370.00,0.01,,,,Y,,"Fareeda Dried Fruits Co.,Ltd.",0.00,Y,370.00,4.540,5.000,10.000,N,variable,20.000,,,Candied Orange,kg,kg,mass
capol-254-(l),10092,Capol 254 (L),Ingredients,<p>Capol 254 - 1 Bottle = 1 Litre</p>,Y,,,,,,,variable,0.00,,,,Y,,,,N,variable,10.000,,,N,variable,0.000,,,Capol 254,L,l,volume
capol-425-(l),10093,Capol 425 (L),Ingredients,<p>Capol 425 - 1 Bottle = 0.025 Litres</p>,Y,,,,,,,variable,0.00,,,,Y,,,,N,variable,0.000,,,N,variable,0.000,,,Capol 425,L,l,volume
cardamom-powder-(g),10040,Cardamom Powder (kg),Ingredients,"<p>Cardamom Powder, 1 Bag = 500g</p>",Y,,,,,,,640.00,695.29,,,,Y,,"S A O Agricultural Co., Ltd.",0.00,Y,640.00,1.500,0.500,2.000,N,variable,0.000,,,Cardamom Powder,kg,kg,mass
carolina-reaper-70%-dark-chocolate---chili-fest-2025-(75g),10235,Carolina Reaper 70% Dark Chocolate - Chili Fest 2025 (75g),Discontinued,<p>Chili Fest 2025 special product. 70% dark chocolate with Carolina Reaper powder</p>,N,,,,,,,variable,12.61,,10010,0.075,N,Y,,,N,variable,0.000,,,Y,variable,0.000,,,Carolina Reaper 70% Dark Chocolate - Chili Fest 2025,75g,,other
,,,,,,,,,,,,,,,10102,0.003,,,,,,,,,,,,,,,,,,
cashews-(g),10047,Cashews (kg),Ingredients,"<p>Cashews, 1 Bag = 1kg</p>",Y,,,,,,,431.00,0.00,,,,Y,,Yok Intertrade,0.00,Y,431.00,10.000,3.000,5.000,N,variable,0.000,,,Cashews,kg,kg,mass
ceremonial-chocolate-(1kg-block),10183,Ceremonial Chocolate - 100% Unroasted (1kg block),Finished Good (others),"<p>Ceremonial Chocolate, 100% unroasted Cacao beans, in 1 kg block</p>",N,,,,,,,variable,180.00,,10000,1.000,N,Y,,,N,variable,0.000,,,Y,variable,0.000,,,Ceremonial Chocolate - 100% Unroasted,1kg block,,other
,,,,,,,,,,,,,,,10125,1.000,,,,,,,,,,,,,,,,,,
matcha-white-chocolate---white-chocolate-(75g),8857126163223,Ceremonial Matcha White Chocolate (75g),Discontinued,<p>Matcha White Chocolate. White Chocolate. 75 grams. Big Bar.</p>,N,,,,,,,variable,17.27,8857126163223,10155,0.001,N,Y,,,N,variable,0.000,,,N,variable,0.000,,,Ceremonial Matcha White Chocolate,75g,,other
,,,,,,,,,,,,,,,10199,0.074,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,10102,0.003,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,10186,1.000,,,,,,,,,,,,,,,,,,
chiang-mai-chocolate-dark-box,10346,Chiang Mai Chocolate Dark Box,Packaging,<p>New Package for Small Bar Gift set</p>,N,,,,,,,15.00,0.00,,,,Y,,Blueprint Design Ltd.Part.,0.00,Y,15.00,375.000,500.000,1000.000,N,variable,0.000,,,Chiang Mai Chocolate Dark Box,,,
chili-powder-(siri),10471,Chili Powder -Siri (kg),Ingredients,<p>Marko/Yok&nbsp; 1kg/bag</p>,N,,,,,,,289.00,0.00,,,,Y,,Yok Intertrade,,Y,289.00,0.000,,,N,variable,0.000,,,Chili Powder -Siri,kg,kg,mass
chili-powder-(g),10038,Chili Powder (kg),Ingredients,"<p>Chili Powder, 1 bag=1kg</p>",Y,,,,,,,150.00,0.00,,,,Y,,"S A O Agricultural Co., Ltd.",0.00,Y,150.00,3.689,1.000,3.000,N,variable,0.000,,,Chili Powder,kg,kg,mass
chocolate-dipped-orange-(45g),10258,Chocolate Dipped Orange (45g),Finished Good (others),"<p>Chocolate Dipped Orange, in 45g quantities, includes wrapping and sticker.</p>",N,,,,,,,variable,2.51,,10082,0.030,N,Y,,,Y,variable,0.000,,,Y,60.00,321.000,100.000,,Chocolate Dipped Orange,45g,,other
,,,,,,,,,,,,,,,10010,0.015,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,10260,0.001,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,10472,1.000,,,,,,,,,,,,,,,,,,
cinnamon-powder-(g),10039,Cinnamon Powder (kg),Ingredients,"<p>Cinnamon Powder, 1 Bag=1kg</p>",Y,,,,,,,230.00,0.00,,,,Y,,"S A O Agricultural Co., Ltd.",0.00,Y,230.00,0.671,1.000,2.000,N,variable,0.000,,,Cinnamon Powder,kg,kg,mass
cleaning-cloths,10406,Cleaning Cloths,Cleaning,<p>Cleaning Clothes for factory (brown for tempering room / blue for roasting room / gray for shop)</p>,N,,,,,,,32.00,0.00,,,,Y,,"Show At Two Family Co., Ltd.",,Y,32.00,0.000,,,N,32.00,0.000,,,Cleaning Cloths,,,
paleo-robbie-clear-bag---long,10130,Clear Bag - Long - Paleo Robbie,Packaging,<p>Paleo Robbie Clear Bag - Long&nbsp; Clear Nylon bag 125*200 mm</p>,N,,,,,,,113.00,0.00,,,,Y,,Yok Intertrade,0.00,N,113.00,998.000,300.000,600.000,N,113.00,0.000,,,Clear Bag - Long - Paleo Robbie,,,
paleo-robbie-clear-bag---short,10129,Clear Bag - Short - Paleo Robbie,Packaging,<p>Paleo Robbie Clear Bag - Short &nbsp;Clear Nylon Bag 125*150mm</p>,N,,,,,,,119.00,0.00,,,,Y,,Yok Intertrade,0.00,Y,119.00,332.000,200.000,300.000,N,119.00,0.000,,,Clear Bag - Short - Paleo Robbie,,,
clear-plastic-bag-(oranger-dipped),10260,"Clear Plastic Bag 3"" x 6"" (Chocolate Dipped Orange) /pack",Packaging,<p>Clear plastic bag OPP (Chocolate Dipped Orange) 3x6 inch&nbsp;</p>,N,,,,,,,130.00,0.00,,,,Y,,Romklao Packaging,0.00,Y,130.00,2.450,,,N,variable,0.000,,,"Clear Plastic Bag 3"" x 6"" (Chocolate Dipped Orange) /pack",,,
clove-oil-(ml),10054,Clove Oil (ml),Ingredients,"<p>Clove Oil, 1 Bottle = 1000ml</p>",Y,,,,,,,800.00,0.00,,,,Y,,Nutrifood Creation Limited Partnership,0.00,Y,800.00,795.004,0.300,500.000,N,variable,0.000,,,Clove Oil,ml,ml,volume
clove-powder-(kg),10274,Clove Powder (kg),Ingredients,<p>Clove Powder 500g/pack</p>,Y,,,,,,,600.00,0.00,,,,Y,,NguanSoon,,Y,600.00,-0.968,,,N,variable,0.000,,,Clove Powder,kg,kg,mass
cocoa-powder-bag-(250g)-new-version,10482,Cocoa Powder Bag (250g) New Version,Packaging,<p>Bag for Cocoa powder 250g &nbsp;New Version order from Hong Kong<br>Flat bottom pouch with zipper 160*170*66 cm<br>Material: spot glossy + Matte finish<br>PET12/AL7/PE110</p>,N,,,,,,,27.00,0.00,,,,N,,,,Y,27.00,,,,N,variable,,,,Cocoa Powder Bag (250g) New Version,,,
coconut-cashews-(100g),10257,Coconut Cashews (100g),Discontinued,<p>Coconut Cashews are sold in 100-gram quantities. Includes wrapping.</p>,N,,,,,,,variable,11.03,,10047,0.030,N,Y,,,N,variable,0.000,,,N,variable,0.000,,,Coconut Cashews,100g,,other
,,,,,,,,,,,,,,,10010,0.060,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,10043,0.010,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,10248,1.000,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,10249,1.000,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,10182,1.000,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,10254,2.000,,,,,,,,,,,,,,,,,,
coconut-curry---coconut-dark-chocolate-65%-(75g),8857126163209,Coconut Curry 65% Dark Chocolate (75g),Finished Goods (Core),"<p>Coconut Curry - Coconut Dark Chocolate 65%. Includes foil, chocolate, flavoring, and wrapper.&nbsp;</p>",N,,,,,,,variable,10.00,8857126163209,10087,0.061,N,Y,,,Y,variable,61.000,150.000,400.000,Y,145.00,9.000,48.000,180.000,Coconut Curry 65% Dark Chocolate,75g,,other
,,,,,,,,,,,,,,,10055,0.001,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,10038,0.001,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,10056,0.001,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,10102,0.003,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,10018,1.000,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,10057,0.001,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,10043,0.005,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,10376,0.005,,,,,,,,,,,,,,,,,,
coconut-milk-dark-chocolate-(20g),8857126163124,Coconut Milk 65% Dark Chocolate (20g),Finished Goods (Core),"<p>Coconut Milk Dark Chocolate. 20g. Small Bar. Coconut Chocolate 65%. Includes wrapper, foil, chocolate, and flavoring.</p>",N,,,,,,,variable,2.73,8857126163124,10087,0.018,N,Y,,,Y,variable,988.000,150.000,450.000,Y,60.00,765.000,48.000,180.000,Coconut Milk 65% Dark Chocolate,20g,,other
,,,,,,,,,,,,,,,10032,1.000,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,10166,0.001,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,10043,0.002,,,,,,,,,,,,,,,,,,
coconut-milk-dark-chocolate-(75g),8857126163049,Coconut Milk 65% Dark Chocolate (75g),Finished Goods (Core),"<p>Coconut Milk Dark Chocolate. 75g. Big bar. Coconut Chocolate 65%. Includes wrapper, flavoring, chocolate, and foil.</p>",N,,,,,,,variable,10.48,8857126163049,10102,0.003,N,Y,,,Y,variable,1119.000,300.000,1000.000,Y,145.00,781.000,48.000,180.000,Coconut Milk 65% Dark Chocolate,75g,,other
,,,,,,,,,,,,,,,10087,0.069,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,10017,1.000,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,10043,0.006,,,,,,,,,,,,,,,,,,
coconut-milk---coconut-dark-chocolate-65%-(8g-squares),10209,Coconut Milk 65% Dark Chocolate (8g Squares),Discontinued,"<p>Coconut Milk, made from coconut chocolate. 8g square quantities. Includes wrapper.</p>",N,,,,,,,variable,1.06,,10087,0.007,N,Y,,,N,variable,57.000,,,N,variable,0.000,,,Coconut Milk 65% Dark Chocolate,8g Squares,,other
,,,,,,,,,,,,,,,10043,0.001,,,,,,,,,,,,,,,,,,
coconut-milk-powder,10006,Coconut Milk Powder (kg),Ingredients,<p>Coconut Milk Powder. One box is 10 kilograms.</p>,Y,,,,,,,268.00,0.00,,,,Y,,"Thep Padungporn Coconut Co.,Ltd.",0.00,Y,268.00,98.000,24.000,60.000,N,variable,0.000,,,Coconut Milk Powder,kg,kg,mass
coffee-beans,10014,Coffee Beans (kg),Ingredients,<p>Dark Roasted (1kg/bag)</p>,N,,,,,,,480.00,0.00,,,,Y,,"Supthawee Part And Service Ltd.,Part.",0.00,Y,480.00,8.512,4.000,12.000,N,variable,0.000,,,Coffee Beans,kg,kg,mass
coffee-crunch-cashews-(100g),10256,Coffee Crunch Cashews (100g),Discontinued,<p>Coffee Crunch Cashews are sold in 100g quantities. Includes wrapping.</p>,N,,,,,,,variable,10.64,,10047,0.033,N,Y,,,N,variable,0.000,,,Y,variable,0.000,,,Coffee Crunch Cashews,100g,,other
,,,,,,,,,,,,,,,10004,0.064,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,10014,0.002,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,10248,1.000,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,10249,1.000,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,10182,1.000,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,10253,2.000,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,10090,0.001,,,,,,,,,,,,,,,,,,
coffee-crunch---milk-chocolate-50%-(20g),8857126163148,Coffee Crunch Milk Chocolate (20g),Finished Goods (Core),"<p>Coffee Crunch - Milk Chocolate 50%. 20g. Small Bar. Includes flavoring, chocolate, wrapper, and foil.&nbsp;</p>",N,,,,,,,variable,3.16,8857126163148,10004,0.019,N,Y,,,Y,variable,487.000,100.000,300.000,Y,60.00,561.000,48.000,180.000,Coffee Crunch Milk Chocolate,20g,,other
,,,,,,,,,,,,,,,10014,0.001,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,10035,1.000,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,10166,0.001,,,,,,,,,,,,,,,,,,
coffee-crunch---milk-chocolate-50%,8857126163063,Coffee Crunch Milk Chocolate (75g),Finished Goods (Core),"<p>Coffee Crunch - Milk Chocolate 50% (75g). Large Bar. Includes foil, chocolate, flavoring, and wrapper.&nbsp;</p>",N,,,,,,,variable,12.14,8857126163063,10004,0.073,N,Y,,,Y,variable,448.000,200.000,600.000,Y,145.00,294.000,48.000,180.000,Coffee Crunch Milk Chocolate,75g,,other
,,,,,,,,,,,,,,,10014,0.002,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,10102,0.003,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,10019,1.000,,,,,,,,,,,,,,,,,,
coffee-crunch---milk-chocolate-50%-(8g-squares),10206,Coffee Crunch Milk Chocolate (8g Squares),Discontinued,<p>Coffee Crunch. Milk Chocolate 50%. Includes wrapping. Sold and made in 8-gram squares.</p>,N,,,,,,,variable,1.33,,10004,0.008,N,Y,,,N,variable,46.000,,,N,variable,0.000,,,Coffee Crunch Milk Chocolate,8g Squares,,other
,,,,,,,,,,,,,,,10014,0.001,,,,,,,,,,,,,,,,,,
70%-couverture-(1kg-in-50-gram-blocks),10179,Couverture - 70% (1kg),Finished Good (others),<p>Couverture in 1 kg blocks</p>,N,,,,,,,variable,167.60,,10125,1.000,N,Y,,,Y,variable,0.000,,,Y,variable,18.000,,,Couverture - 70%,1kg,,other
,,,,,,,,,,,,,,,10010,1.000,,,,,,,,,,,,,,,,,,
blackkitch-(retail---1kg),10178,Couverture - 85% (1kg),Finished Good (others),<p>85% Couverture in 1kg blocks</p>,N,,,,,,,variable,187.26,,10013,1.000,N,Y,,,N,variable,0.000,,,Y,variable,0.000,,,Couverture - 85%,1kg,,other
,,,,,,,,,,,,,,,10125,1.000,,,,,,,,,,,,,,,,,,
couverture-sugar-free-(1kg-in-50g-blocks),10181,Couverture - 85% Sugar Free (1kg),Finished Good (others),<p>Couverture in 1kg blocks</p>,N,,,,,,,variable,215.15,,10089,1.000,N,Y,,,N,variable,0.000,,,Y,variable,0.000,,,Couverture - 85% Sugar Free,1kg,,other
,,,,,,,,,,,,,,,10125,1.000,,,,,,,,,,,,,,,,,,
couverture-coconut-milk-(1kg),10185,Couverture - Coconut Milk (1kg),Finished Good (others),,N,,,,,,,variable,151.92,,10087,1.000,N,Y,,,Y,variable,0.000,,,Y,variable,0.000,,,Couverture - Coconut Milk,1kg,,other
,,,,,,,,,,,,,,,10125,1.000,,,,,,,,,,,,,,,,,,
coffee-pomelo-couverture-(1kg-in-50-gram-blocks),10246,Couverture - Hill Coffee & Pomelo (1kg),Discontinued,<p>Coffee Pomelo Couverture. 1 kilogram blocks</p>,N,,,,,,,variable,191.40,,10088,0.909,N,Y,,,Y,variable,0.000,,,Y,variable,0.000,,,Couverture - Hill Coffee & Pomelo,1kg,,other
,,,,,,,,,,,,,,,10071,0.091,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,10125,1.000,,,,,,,,,,,,,,,,,,
khao-soi-couverture-(1kg-in-50g-blocks),10247,Couverture - Khao Soi Curry(1kg),Discontinued,"<p>Khao Soi Couverture, 1 kg blocks.&nbsp;</p>",N,,,,,,,variable,163.41,,10004,0.963,N,Y,,,N,variable,0.000,,,Y,variable,0.000,,,Couverture - Khao Soi Curry,1kg,,other
,,,,,,,,,,,,,,,10064,0.029,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,10037,0.006,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,10038,0.001,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,10042,0.001,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,10125,1.000,,,,,,,,,,,,,,,,,,
couverture-milk-(1kg-in-50-gram-blocks),10180,Couverture - Milk (1kg),Finished Good (others),<p>Couverture in 1kg blocks</p>,N,,,,,,,variable,166.30,,10004,1.000,N,Y,,,Y,variable,0.000,,,Y,variable,3.000,,,Couverture - Milk,1kg,,other
,,,,,,,,,,,,,,,10125,1.000,,,,,,,,,,,,,,,,,,
thai-tea-couverture-(1kg-in-50g-blocks),10157,Couverture - Thai Tea (1kg),Discontinued,<p>Couverture in 50g blocks. Thai tea.</p>,N,,,,,,,variable,164.30,,10004,0.988,N,Y,,,N,variable,0.000,,,Y,variable,1.000,,,Couverture - Thai Tea,1kg,,other
,,,,,,,,,,,,,,,10012,0.012,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,10125,1.000,,,,,,,,,,,,,,,,,,
cpe-shoe-cover-(box),10373,CPE Shoe cover (box),Supplies,<p>20 packs/box (1000 pairs)</p>,N,,,,,,,1800.00,0.00,,,,Y,,Biosafe Product,,Y,1800.00,0.000,,,N,1800.00,0.000,,,CPE Shoe cover,box,box,count
craft-cup-for-coated-chocolate-(12oz),10248,Craft Cup for Coated Nuts (12oz),Discontinued,"<p>Craft cup 12 oz 25 cups/pack ** does not come with the lid, need to buy separately**</p>",N,,,,,,,49.00,0.00,,,,Y,,PYR Giftbox,0.00,Y,49.00,0.000,100.000,,N,49.00,0.000,,,Craft Cup for Coated Nuts,12oz,,other
craft-lid-for-coated-chocolate-(8-12-oz),10249,Craft Lid for Coated Nuts (8-12 oz),Discontinued,"<p>Lid cup 8-12 oz 25 cups/pack ** does not come with the cup, need to buy separately**</p>",N,,,,,,,42.00,0.00,,,,Y,,PYR Giftbox,0.00,Y,42.00,0.000,100.000,,N,42.00,0.000,,,Craft Lid for Coated Nuts,8-12 oz,oz,mass
curry-powder-(g),10037,Curry Powder (kg),Ingredients,"<p>Curry Powder, 1kg per bag</p>",Y,,,,,,,200.00,0.00,,,,Y,,"S A O Agricultural Co., Ltd.",0.00,Y,200.00,0.321,1.000,3.000,N,variable,0.000,,,Curry Powder,kg,kg,mass
d-box,10334,D Box,Packing,,N,,,,,,,7.20,0.00,BOX D,,,Y,,G.M. Box Chiang Mai,,N,7.20,0.000,,,Y,7.20,0.000,0.000,,D Box,,,
date-machine-tape,10140,Date Machine Tape,Discontinued,<p>Date Machine Tape&nbsp;</p>,N,,,,,,,variable,0.00,,,,Y,,,0.00,N,variable,0.000,,,N,variable,0.000,,,Date Machine Tape,,,
dishwashing-liquid,10392,Dishwashing liquid,Cleaning,<p>Dishwashing liquid (20 litres)</p>,N,,,,,,,749.00,0.00,,,,Y,,Makro,,Y,749.00,2.000,,,N,749.00,1.000,,,Dishwashing liquid,,,
dolly-cart,10314,Dolly Cart,Supplies,<p>Dolly Cart 990B/piece &nbsp;Dimension: 41*61*15.4 cm.</p>,N,,,,,,,990.00,0.00,,,,Y,,"SWP Sahawattanaplastic Co.,Ltd",,Y,990.00,15.000,,15.000,N,990.00,0.000,,,Dolly Cart,,,
double-mint-powder-(kg),10351,Double Mint Powder (kg),Ingredients,<p>BKK Chemi Double Mint Powder</p>,Y,,,,,,,1025.00,1193.75,,,,Y,,Krungthepchemi,,Y,1025.00,0.856,,,N,1025.00,0.000,,,Double Mint Powder,kg,kg,mass
double-sided-tape,10139,Double Sided Tape,Supplies,<p>Double Sided Tape&nbsp;</p>,N,,,,,,,variable,0.00,,,,N,,,,N,variable,,,,N,variable,,,,Double Sided Tape,,,
coconut-(g),10043,Dried Coconut Flakes (kg),Ingredients,"<p>Coconut, 1 bag = 1000g (เกล็ดใหญ่)</p>",Y,,,,,,,230.00,0.00,,,,Y,,Yok Intertrade,0.00,Y,230.00,20.440,10.000,20.000,N,variable,0.000,,,Dried Coconut Flakes,kg,kg,mass
drinking-bag--expandable-sides-(13*20cm),10289,Drinking bag -expandable sides (13*20cm),Packaging,<p>for 250 g (10 pcs/pack) price/pack</p>,N,,,,,,,79.00,0.00,,,,Y,,"AC Plus Global Co,Ltd",0.00,Y,79.00,246.000,500.000,1500.000,N,variable,0.000,,,Drinking bag -expandable sides (13*20cm),,,
drinking-chocolate---no-salt-(1kg),10204,Drinking Chocolate - NO SALT (1kg),Discontinued,<p>Drinking Chocolate Powder. WITHOUT SALT. Sold in 1 kilogram units.</p>,N,,,,,,,variable,178.94,,10009,0.497,N,Y,,,N,variable,0.000,,,Y,variable,0.000,,,Drinking Chocolate - NO SALT,1kg,,other
,,,,,,,,,,,,,,,10086,0.055,,,,,,,,,,,,,,,,,,
