Handle,SKU,Name,Category,Description,Sold by weight,Option 1 name,Option 1 value,Option 2 name,Option 2 value,Option 3 name,Option 3 value,Default price,Cost,Barcode,SKU of included item,Quantity of included item,Track stock,Use production,Supplier,Purchase cost,Available for sale [Factory],Price [Factory],In stock [Factory],Low stock [Factory],Optimal stock [Factory],Available for sale [Stock Room],Price [Stock Room],In stock [Stock Room],Low stock [Stock Room],Optimal stock [Stock Room],item_name,uom_detail,uomDenomination,uomDimension
sugar-free-vanilla-coated-cashews---paleo-robbie-(80g),10197,85% Sugar Free Vanilla Coated Cashews - Paleo Robbie (80g),Finished Good (others),"<p>Sugar Free Vanilla Coated Cashews, for Paleo Robbie, in 80 gram quantities.</p>",N,,,,,,,variable,11.40,,10047,0.026,N,Y,,,N,variable,0.000,,,Y,variable,0.000,,,85% Sugar Free Vanilla Coated Cashews - Paleo Robbie,80g,,other
,,,,,,,,,,,,,,,10089,0.053,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,10059,0.001,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,10129,1.000,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,10191,1.000,,,,,,,,,,,,,,,,,,
air-bubble,10301,Air Bubble 65*20cm (roll),Packing,,N,,,,,,,330.00,0.00,BUBBLE,,,Y,,G.M. Box Chiang Mai,,N,330.00,0.000,,,Y,330.00,2.000,0.500,1.000,Air Bubble 65*20cm,roll,roll,count
air-freshener,10439,Air Freshener,Cleaning,<p>AMBIPUR Room Fresh Gel Rose 180 g x 3</p>,N,,,,,,,variable,0.00,,,,Y,,,,N,variable,0.000,,,Y,variable,1.000,,,Air Freshener,,,
allspice-powder-(g),10051,Allspice Powder (kg),Ingredients,"<p>Allspice Powder, 1 Bag = 1,500g</p>",Y,,,,,,,1650.00,1650.00,,,,Y,,NguanSoon,0.00,Y,1650.00,0.600,0.500,2.000,N,variable,0.000,,,Allspice Powder,kg,kg,mass
almond-+-rose---valentine's-2025-(75g),10365,Almond + Rose - Valentine's 2025 (75g),Discontinued,<p>Valentine&#39;s 2025 recipe</p>,N,,,,,,,variable,13.67,,10004,0.068,N,Y,,,N,variable,0.000,,,Y,variable,0.000,,,Almond + Rose - Valentine's 2025,75g,,other
,,,,,,,,,,,,,,,10046,0.007,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,10060,0.001,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,10040,0.001,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,10102,0.001,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,10098,1.000,,,,,,,,,,,,,,,,,,
almond-butter-(-kg),10085,Almond Butter (kg),Ingredients,"<p>Almond Butter, 1 Bag = 1 kg</p>",Y,,,,,,,variable,149.34,,10046,1.000,N,Y,,,N,variable,-10.640,,,N,variable,0.000,,,Almond Butter,kg,kg,mass
,,,,,,,,,,,,,,,10042,0.001,,,,,,,,,,,,,,,,,,
